County_State_Key,County,State,Population_2023,Median_HH_Income_2023,Store_Count
Broward|Florida,Broward,Florida,1946127.0,74534.0,11
Calhoun|Florida,Calhoun,Florida,13593.0,46901.0,0
Charlotte|Florida,Charlotte,Florida,195083.0,66154.0,1
Citrus|Florida,Citrus,Florida,158693.0,55355.0,0
Clay|Florida,Clay,Florida,223436.0,86094.0,1
Collier|Florida,Collier,Florida,387681.0,86173.0,2
Columbia|Florida,Columbia,Florida,70755.0,55070.0,0
Desoto|Florida,Desoto,Florida,34719.0,50868.0,0
Dixie|Florida,Dixie,Florida,16952.0,47655.0,0
Duval|Florida,Duval,Florida,1007189.0,68447.0,8
Escambia|Florida,Escambia,Florida,323275.0,65715.0,3
Flagler|Florida,Flagler,Florida,121710.0,72923.0,1
Franklin|Florida,Franklin,Florida,12418.0,62734.0,0
Gadsden|Florida,Gadsden,Florida,43642.0,46047.0,0
Gilchrist|Florida,Gilchrist,Florida,18494.0,61070.0,0
Glades|Florida,Glades,Florida,12324.0,38905.0,0
Gulf|Florida,Gulf,Florida,14772.0,67361.0,0
Hamilton|Florida,Hamilton,Florida,13445.0,47696.0,0
Hardee|Florida,Hardee,Florida,25508.0,54231.0,0
Hendry|Florida,Hendry,Florida,40798.0,53044.0,0
Hernando|Florida,Hernando,Florida,201512.0,63193.0,2
Highlands|Florida,Highlands,Florida,103808.0,55581.0,0
Hillsborough|Florida,Hillsborough,Florida,1489634.0,75011.0,8
Holmes|Florida,Holmes,Florida,19626.0,48236.0,0
Indian River|Florida,Indian River,Florida,163856.0,71049.0,1
Jackson|Florida,Jackson,Florida,47652.0,47327.0,0
Jefferson|Florida,Jefferson,Florida,14713.0,56984.0,0
Lafayette|Florida,Lafayette,Florida,8035.0,60692.0,0
Lake|Florida,Lake,Florida,398696.0,69956.0,3
Lee|Florida,Lee,Florida,792692.0,73099.0,7
Leon|Florida,Leon,Florida,295335.0,65074.0,2
Levy|Florida,Levy,Florida,44276.0,53805.0,0
Liberty|Florida,Liberty,Florida,7650.0,53824.0,0
Madison|Florida,Madison,Florida,18113.0,48176.0,0
Manatee|Florida,Manatee,Florida,416020.0,75792.0,1
Marion|Florida,Marion,Florida,387697.0,58535.0,1
Martin|Florida,Martin,Florida,160464.0,80701.0,1
Miami-Dade|Florida,Miami-Dade,Florida,2685296.0,68694.0,11
Monroe|Florida,Monroe,Florida,81840.0,82430.0,0
Nassau|Florida,Nassau,Florida,94653.0,88900.0,1
Okaloosa|Florida,Okaloosa,Florida,214281.0,79097.0,2
Okeechobee|Florida,Okeechobee,Florida,40249.0,52288.0,0
Orange|Florida,Orange,Florida,1440471.0,77011.0,8
Osceola|Florida,Osceola,Florida,406943.0,68711.0,2
Palm Beach|Florida,Palm Beach,Florida,1507453.0,81115.0,9
Pasco|Florida,Pasco,Florida,588758.0,67384.0,3
Pinellas|Florida,Pinellas,Florida,960565.0,70293.0,6
Polk|Florida,Polk,Florida,760961.0,63644.0,3
Putnam|Florida,Putnam,Florida,74235.0,47256.0,0
St. Johns|Florida,St. Johns,Florida,292243.0,106169.0,1
St. Lucie|Florida,St. Lucie,Florida,346237.0,69027.0,1
Santa Rosa|Florida,Santa Rosa,Florida,193719.0,88968.0,1
Sarasota|Florida,Sarasota,Florida,449011.0,80633.0,4
Seminole|Florida,Seminole,Florida,474912.0,83030.0,5
Sumter|Florida,Sumter,Florida,137536.0,73297.0,0
Suwannee|Florida,Suwannee,Florida,44484.0,55479.0,0
Taylor|Florida,Taylor,Florida,21422.0,44985.0,0
Union|Florida,Union,Florida,15551.0,64922.0,0
Volusia|Florida,Volusia,Florida,568229.0,66581.0,3
Wakulla|Florida,Wakulla,Florida,34608.0,74183.0,0
Walton|Florida,Walton,Florida,79846.0,79281.0,0
Washington|Florida,Washington,Florida,25259.0,52723.0,0
Appling|Georgia,Appling,Georgia,18426.0,43728.0,0
